amount,amount_net_flow,amount_usd,amount_usd_net_flow,etf_ticker,issuer,time,QueryID,eth_price,net_flow,net_flow_usd,net_tvl,net_tvl_usd,tvl,tvl_usd
3067.0758187399997,4066.1917556000003,336586050.0526844,445924935.09011316,IBIT,BlackRock,2025-06-11 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-07-02 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BITB,Bitwise,2025-06-14 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BRRR,Valkyrie,2025-05-04 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-05-04 00:00:00.000 UTC,3430945,,,,,,,
3e-06,,0.29008779,,ARKB,21Shares,2025-05-03 00:00:00.000 UTC,3430945,,,,,,,
0.0,0.0,0.0,0.0,IBIT,BlackRock,2025-05-31 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCW,WisdomTree,2025-05-10 00:00:00.000 UTC,3430945,,,,,,,
-0.0019999999971993306,,-301.159548997287,,GBTC,Grayscale,2025-05-08 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,HODL,VanEck,2025-05-17 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,HODL,VanEck,2025-06-12 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-07-13 00:00:00.000 UTC,3430945,,,,,,,
279.84273779,-924.5261340200011,27294461.86622277,-89446202.62455007,IBIT,BlackRock,2025-05-07 00:00:00.000 UTC,3430945,,,,,,,
56.56422744,,5994975.483212084,,HODL,VanEck,2025-06-24 00:00:00.000 UTC,3430945,,,,,,,
-378.62829551999897,,-39231143.52732363,,GBTC,Grayscale,2025-05-16 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BITB,Bitwise,2025-05-03 00:00:00.000 UTC,3430945,,,,,,,
6953.9095739,6342.939573900003,656467834.5357732,598762297.0189942,IBIT,BlackRock,2025-05-05 00:00:00.000 UTC,3430945,,,,,,,
3900.0,4067.765940330002,459172809.0,478909995.01119095,IBIT,BlackRock,2025-07-18 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCO,Invesco,2025-06-19 00:00:00.000 UTC,3430945,,,,,,,
44.2835715,,5203806.7705365,,BTC,Grayscale Mini,2025-07-18 00:00:00.000 UTC,3430945,,,,,,,
0.0,0.0,0.0,0.0,IBIT,BlackRock,2025-04-27 00:00:00.000 UTC,3430945,,,,,,,
2993.53658223,2188.72722983,351986078.84101033,258101739.80624467,IBIT,BlackRock,2025-07-15 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BRRR,Valkyrie,2025-06-30 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-06-13 00:00:00.000 UTC,3430945,,,,,,,
119.69653199999999,,11403463.467368279,,ARKB,21Shares,2025-04-28 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BITB,Bitwise,2025-07-18 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,ARKB,21Shares,2025-06-12 00:00:00.000 UTC,3430945,,,,,,,
1e-05,,1.0377994000000001,,FBTC,Fidelity,2025-05-14 00:00:00.000 UTC,3430945,,,,,,,
88.5820584,,9613724.873555351,,BTC,Grayscale Mini,2025-06-09 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BITB,Bitwise,2025-05-26 00:00:00.000 UTC,3430945,,,,,,,
0.0,0.0,0.0,0.0,IBIT,BlackRock,2025-07-05 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTC,Grayscale Mini,2025-05-26 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCO,Invesco,2025-07-15 00:00:00.000 UTC,3430945,,,,,,,
199.40586063,,24284158.18058322,,ARKB,21Shares,2025-07-14 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-05-03 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-05-22 00:00:00.000 UTC,3430945,,,,,,,
0.0,0.0,0.0,0.0,IBIT,BlackRock,2025-07-12 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BRRR,Valkyrie,2025-07-19 00:00:00.000 UTC,3430945,,,,,,,
2380.81440648,2343.0972524199997,250274513.16729146,246371230.95972812,IBIT,BlackRock,2025-06-13 00:00:00.000 UTC,3430945,,,,,,,
4476.10934857,2586.1655213700005,479372093.2145748,275831807.86143905,IBIT,BlackRock,2025-05-29 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTC,Grayscale Mini,2025-05-09 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-07-17 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,GBTC,Grayscale,2025-05-23 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCW,WisdomTree,2025-07-16 00:00:00.000 UTC,3430945,,,,,,,
1249.766672,2507.1313217999996,131204104.7246041,260785434.08167353,IBIT,BlackRock,2025-05-19 00:00:00.000 UTC,3430945,,,,,,,
613.29891518,701.20598076,67048683.11444403,76647052.02721559,IBIT,BlackRock,2025-07-09 00:00:00.000 UTC,3430945,,,,,,,
44.285208,,4825871.60018832,,BTC,Grayscale Mini,2025-07-09 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-07-20 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCO,Invesco,2025-06-01 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,HODL,VanEck,2025-06-30 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,FBTC,Fidelity,2025-05-18 00:00:00.000 UTC,3430945,,,,,,,
-0.2932069399998909,,-28374.43220230937,,BTCW,WisdomTree,2025-05-02 00:00:00.000 UTC,3430945,,,,,,,
226.25694624,,21959591.346057616,,HODL,VanEck,2025-05-02 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-05-13 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,FBTC,Fidelity,2025-06-03 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BRRR,Valkyrie,2025-07-04 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.25430135428905487,,BTC,Grayscale Mini,2025-05-27 00:00:00.000 UTC,3430945,,,,,,,
44.88866138,,5466911.514312785,,BTCO,Invesco,2025-07-14 00:00:00.000 UTC,3430945,,,,,,,
-314.6557191999983,,-37545147.75930001,,GBTC,Grayscale,2025-07-22 00:00:00.000 UTC,3430945,,,,,,,
65.42845884,,7711820.826726507,,FBTC,Fidelity,2025-07-18 00:00:00.000 UTC,3430945,,,,,,,
2044.40619197,5438.57090757,221450705.10958576,588882321.1781762,IBIT,BlackRock,2025-07-07 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BRRR,Valkyrie,2025-06-21 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,EZBC,Franklin Templeton,2025-04-26 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,HODL,VanEck,2025-07-12 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,GBTC,Grayscale,2025-07-07 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,HODL,VanEck,2025-04-30 00:00:00.000 UTC,3430945,,,,,,,
0.0,3e-06,0.0,0.29008779,IBIT,BlackRock,2025-05-03 00:00:00.000 UTC,3430945,,,,,,,
1592.50482215,,174301882.6866538,,FBTC,Fidelity,2025-06-10 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BTCO,Invesco,2025-07-20 00:00:00.000 UTC,3430945,,,,,,,
2703.69638182,1854.7016060600001,282790308.57069707,194078307.82648885,IBIT,BlackRock,2025-06-05 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,BITB,Bitwise,2025-05-16 00:00:00.000 UTC,3430945,,,,,,,
0.0,,0.0,,FBTC,Fidelity,2025-07-06 00:00:00.000 UTC,3430945,,,,,,,
