name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
PancakeSwap AMM,"['BSC', 'Ethereum', 'Polygon zkEVM', 'ZKsync Era', 'Arbitrum', 'Linea', 'Base', 'opBNB', 'Aptos']",Dexs,2463058990,23337935251.0,111452468798.0,-28.67,-52.16,-14.37
Uniswap V3,"['Arbitrum', 'Base', 'Avalanche', 'World Chain', 'Ethereum', 'OP Mainnet', 'Polygon', 'ZKsync Era', 'Sei', 'Unichain', 'Taiko', 'Scroll', 'Rootstock', 'Filecoin', 'Boba', 'Moonbeam', 'Manta', 'Mantle', 'Linea', 'Polygon zkEVM', 'Blast', 'Gnosis', 'BOB', 'Lisk', 'Corn', 'Goat', 'BSC', 'Hemi', 'XDC', 'LightLink', 'Lens', 'Telos', 'Celo']",Dexs,2300756792,15858775525.0,50929599376.0,0.0,-20.59,51.99
PancakeSwap AMM V3,"['BSC', 'Ethereum', 'Polygon zkEVM', 'ZKsync Era', 'Arbitrum', 'Linea', 'Base', 'opBNB', 'Solana']",Dexs,2268730885,16405742135.0,74723134983.0,-6.87,-17.89,-14.32
Uniswap V4,"['Ethereum', 'Unichain', 'OP Mainnet', 'Base', 'Arbitrum', 'Polygon', 'Blast', 'Zora', 'World Chain', 'Ink', 'Soneium', 'Avalanche', 'BSC']",Dexs,1474253586,7577148425.0,26695920914.0,15.41,3.62,76.94
Raydium AMM,['Solana'],Dexs,1057306380,7824102732.0,25587570541.0,-13.68,-21.59,54.69
Orca,"['Solana', 'Eclipse']",Dexs,849964343,6601639972.0,18122368596.0,-16.76,-20.82,117.76
Aerodrome Slipstream,['Base'],Dexs,825267850,4822744537.0,15872253842.0,0.0,6.8,99.75
Meteora DLMM,['Solana'],Dexs,610048899,3831221236.0,17395128134.0,2.34,-25.54,127.0
Fluid DEX,"['Ethereum', 'Arbitrum', 'Polygon', 'Base']",Dexs,604272233,3568783720.0,13822797289.0,33.65,-26.64,136.48
Uniswap V2,"['Ethereum', 'Arbitrum', 'Polygon', 'Base', 'BSC', 'Unichain']",Dexs,502013559,3237575032.0,11520565167.0,0.0,13.74,82.13
Hyperliquid Spot Orderbook,['Hyperliquid L1'],Dexs,400136463,2767175223.0,9995159724.0,0.0,-22.55,31.92
Ekubo,"['Starknet', 'Ethereum']",Dexs,349512489,2318345253.0,5649099758.0,0.0,166.3,637.46
Cetus AMM,"['Aptos', 'Sui']",Dexs,267349680,1661373849.0,5281646348.0,0.0,-10.33,148.56
SUNSwap V3,['Tron'],Dexs,247615628,1321946565.0,2904617264.0,0.0,-12.81,286.58
PumpSwap,['Solana'],Dexs,232858076,1468587658.0,7215973769.0,0.0,58.48,-3.56
Curve DEX,"['Ethereum', 'Polygon', 'Fantom', 'Arbitrum', 'Avalanche', 'OP Mainnet', 'Gnosis', 'Base', 'Fraxtal', 'Sonic', 'Hyperliquid L1']",Dexs,230237061,1972124073.0,6739471747.0,-31.62,-42.74,70.3
Pendle,"['Ethereum', 'Arbitrum', 'Mantle', 'BSC', 'OP Mainnet']",Yield,204579282,1335031440.0,2786980358.0,-13.06,30.49,362.5
Blackhole CLMM,['Avalanche'],Dexs,154697268,781181338.0,898682881.0,18.88,169.0,
LaunchLab,['Solana'],Launchpad,153124184,1127675368.0,3122147586.0,0.0,-14.23,999.26
Bluefin Spot,['Sui'],Dexs,148765196,803127472.0,2517689040.0,32.73,21.43,128.93
Hyperion,['Aptos'],Dexs,114473563,896415469.0,4103219944.0,0.0,-27.77,-17.8
Lifinity V1,['Solana'],Dexs,94218059,672867739.0,2198755450.0,0.0,-13.01,60.32
